keyword,volume,seo_difficulty,cpc_usd,paid_difficulty,competition,intent,sources,market,language,extracted_at
abogado penalista,4400,3,4.9,75,0.75,Informational,Ubersuggest seed,Argentina,es,2026-09-24
abogado penalista gratis,480,20,0.99,81,0.81,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista caba,390,14,7.48,88,0.88,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista cerca de mi,390,5,0.37,47,0.47,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista córdoba,390,4,0.96,96,0.96,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista rosario,320,8,0.7,64,0.64,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista mendoza,260,13,1,95,0.95,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista que hace,260,6,1.54,30,0.3,Informational,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista en santa fe,210,6,0.7,71,0.71,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista en mar del plata,170,11,1.05,53,0.53,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista gratuito,140,28,1.8,84,0.84,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
que es un abogado penalista,140,10,0.68,35,0.35,Informational,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista bahia blanca,110,4,0.72,70,0.7,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista buenos aires,110,5,3.17,79,0.79,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista en san juan,110,12,0.27,56,0.56,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista famoso,110,10,1.7,64,0.64,Informational,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista la plata,110,4,2.41,94,0.94,Commercial,Ubersuggest match_keywords,Argentina,es,2026-09-24
cuanto gana un abogado penalista en argentina,110,16,0,1,0,Informational,Ubersuggest match_keywords,Argentina,es,2026-09-24
roberto castillo abogado penalista,110,26,0.02,12,0.12,Navigational,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista neuquen,90,35,0.345,70,0.7,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista argentina,70,34,3.255,68,0.68,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista lomas de zamora,70,28,1.93,74,0.74,,Ubersuggest match_keywords,Argentina,es,2026-09-24
mejor abogado penalista de córdoba argentina,70,23,0.66,59,0.59,,Ubersuggest match_keywords | Google autocomplete suggestions,Argentina,es,2026-09-24
abogado penalista carrera,50,36,0.52,74,0.74,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista cuánto cobra,50,23,0.925,57,0.58,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista de oficio,50,31,1.315,85,0.85,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista parana,50,28,1.08,48,0.48,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista que es,50,18,0.865,42,0.42,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista tucumán,50,24,0.27,35,0.35,,Ubersuggest match_keywords,Argentina,es,2026-09-24
cuánto gana un abogado penalista,50,6,0,1,0.01,,Ubersuggest match_keywords,Argentina,es,2026-09-24
que es abogado penalista,50,17,0.45,38,0.38,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista cuanto gana,40,6,0,2,0.02,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista empleos,40,15,0,6,0.06,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista quilmes,40,38,1,83,0.83,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista salta,40,25,0.595,39,0.39,,Ubersuggest match_keywords,Argentina,es,2026-09-24
abogado penalista san juan,40,21,0.22,51,0.51,,Ubersuggest match_keywords,Argentina,es,2026-09-24
